eta3,n,i,j,z_rest_int,trial_id,kappa_true,kappa_hat,a_true,b_true,cos_a_hat,sin_a_hat,cos_b_hat,sin_b_hat,amp_a,amp_b
0.2,4,0,1,1,8,1.029236884,1.022477009,1.014618442,-0.014618442,0.524414063,0.864257813,1,0.002929688,1.010916255,1.000004292
0.2,4,0,1,2,8,0.970763116,0.973277266,-0.014618442,-0.985381558,1,-0.001953125,0.5625,-0.830078125,1.000001907,1.002714288
0.2,4,0,1,3,8,0.824336646,0.789936249,-0.087831677,-0.912168323,0.99609375,-0.124023438,0.619140625,-0.802734375,1.003785122,1.01376407
0.2,4,2,3,0,8,1,0.977054857,1.05122506,0.05122506,0.544921875,0.868164063,0.999023438,0.033203125,1.025011556,0.999575048
0.2,4,2,3,1,8,1,0.945651967,0.94877494,-0.05122506,0.598632813,0.797851563,1,-0.018554688,0.997460957,1.000172123
0.2,4,2,3,2,8,1,1.04111528,-0.05122506,-1.05122506,0.994140625,-0.008789063,0.498046875,-0.868164063,0.994179476,1.000879378
0.2,4,2,3,3,8,1,0.925433474,0.05122506,-0.94877494,0.999023438,0.001953125,0.6171875,-0.81640625,0.999025347,1.023444955
0.2,4,0,1,0,9,1.175663354,1.165662594,1.087831677,-0.087831677,0.471679688,0.905273438,0.998046875,-0.075195313,1.020784857,1.000875567
0.2,4,0,1,1,9,1.029236884,1.034568315,1.014618442,-0.014618442,0.528320313,0.852539063,1,-0.018554688,1.002968198,1.000172123
0.2,4,0,1,2,9,0.970763116,1.010672028,-0.014618442,-0.985381558,0.998046875,-0.004882813,0.518554688,-0.8359375,0.998058819,0.983712594
0.2,4,0,1,3,9,0.824336646,0.819305816,-0.087831677,-0.912168323,0.99609375,-0.0859375,0.626953125,-0.798828125,0.999793985,1.015478505
0.2,4,2,3,0,9,1,1.009087707,1.05122506,0.05122506,0.499023438,0.870117188,1,0.041015625,1.003059475,1.000840787
0.2,4,2,3,1,9,1,1.010224051,0.94877494,-0.05122506,0.577148438,0.8046875,0.997070313,-0.061523438,0.990263748,0.998966637
0.2,4,2,3,2,9,1,0.982438761,-0.05122506,-1.05122506,0.998046875,-0.087890625,0.477539063,-0.873046875,1.001909341,0.995115271
0.2,4,2,3,3,9,1,1.027651945,0.05122506,-0.94877494,0.998046875,0.081054688,0.590820313,-0.8203125,1.001332825,1.010930878
0.2,4,0,1,0,10,1.175663354,1.182898514,1.087831677,-0.087831677,0.471679688,0.86328125,0.997070313,-0.112304688,0.983735861,1.00337508
0.2,4,0,1,1,10,1.029236884,1.068595579,1.014618442,-0.014618442,0.499023438,0.875976563,1,-0.015625,1.008146482,1.000122063
0.2,4,0,1,2,10,0.970763116,0.99045714,-0.014618442,-0.985381558,1,0.006835938,0.543945313,-0.817382813,1.000023365,0.981830518
0.2,4,0,1,3,10,0.824336646,0.859907232,-0.087831677,-0.912168323,0.997070313,-0.09375,0.5703125,-0.803710938,1.001468058,0.985498665
0.2,4,2,3,0,10,1,1.037103559,1.05122506,0.05122506,0.473632813,0.872070313,0.999023438,0.036132813,0.992388367,0.999676652
0.2,4,2,3,1,10,1,0.989253106,0.94877494,-0.05122506,0.587890625,0.815429688,0.99609375,-0.04296875,1.005256665,0.997020096
0.2,4,2,3,2,10,1,1.015079468,-0.05122506,-1.05122506,0.998046875,-0.032226563,0.5078125,-0.879882813,0.998567031,1.015907131
0.2,4,2,3,3,10,1,1.028737877,0.05122506,-0.94877494,0.999023438,0.071289063,0.573242188,-0.814453125,1.001563757,0.995962097
0.2,4,0,1,0,11,1.175663354,1.196959155,1.087831677,-0.087831677,0.450195313,0.876953125,0.998046875,-0.100585938,0.985759911,1.003102734
0.2,4,0,1,1,11,1.029236884,0.986683891,1.014618442,-0.014618442,0.565429688,0.825195313,0.999023438,-0.016601563,1.000328964,0.999161369
0.2,4,0,1,2,11,0.970763116,0.988405268,-0.014618442,-0.985381558,1,0.029296875,0.578125,-0.82421875,1.000429061,1.006759685
0.2,4,0,1,3,11,0.824336646,0.872299031,-0.087831677,-0.912168323,0.995117188,-0.030273438,0.610351563,-0.7734375,0.99557757,0.985258644
0.2,4,2,3,0,11,1,1.002201483,1.05122506,0.05122506,0.478515625,0.859375,0.999023438,0.060546875,0.983617097,1.00085651
0.2,4,2,3,1,11,1,0.999526944,0.94877494,-0.05122506,0.56640625,0.825195313,1,-0.030273438,1.000881284,1.000458136
0.2,4,2,3,2,11,1,0.97072364,-0.05122506,-1.05122506,0.998046875,-0.072265625,0.500976563,-0.859375,1.000659725,0.994737607
0.2,4,2,3,3,11,1,0.959731505,0.05122506,-0.94877494,0.997070313,0.048828125,0.602539063,-0.776367188,0.998265192,0.9827509
0.2,4,0,1,0,12,1.175663354,1.120811666,1.087831677,-0.087831677,0.499023438,0.875,0.999023438,-0.068359375,1.007298065,1.001359492
0.2,4,0,1,1,12,1.029236884,1.041456698,1.014618442,-0.014618442,0.513671875,0.841796875,1,-0.018554688,0.986144398,1.000172123
0.2,4,0,1,2,12,0.970763116,1.011480431,-0.014618442,-0.985381558,1,0.008789063,0.52734375,-0.826171875,1.000038623,0.980128256
0.2,4,0,1,3,12,0.824336646,0.764355451,-0.087831677,-0.912168323,0.993164063,-0.114257813,0.646484375,-0.780273438,0.999714811,1.013295951
0.2,4,2,3,0,12,1,0.980927388,1.05122506,0.05122506,0.515625,0.854492188,0.998046875,0.046875,0.998011042,0.999147051
0.2,4,2,3,1,12,1,1.00328382,0.94877494,-0.05122506,0.595703125,0.833984375,0.999023438,-0.052734375,1.024886409,1.000414286
0.2,4,2,3,2,12,1,0.971679323,-0.05122506,-1.05122506,0.999023438,-0.041015625,0.532226563,-0.852539063,0.999865046,1.005031326
0.2,4,2,3,3,12,1,0.99604658,0.05122506,-0.94877494,1,0.033203125,0.57421875,-0.825195313,1.000551072,1.005323071
0.2,4,0,1,0,13,1.175663354,1.236738701,1.087831677,-0.087831677,0.430664063,0.891601563,0.998046875,-0.116210938,0.990164068,1.004789802
0.2,4,0,1,1,13,1.029236884,1.09218927,1.014618442,-0.014618442,0.498046875,0.84375,1,-0.0546875,0.97977791,1.001494245
0.2,4,0,1,2,13,0.970763116,0.9948288,-0.014618442,-0.985381558,1,-0.015625,0.536132813,-0.854492188,1.000122063,1.008759283
0.2,4,0,1,3,13,0.824336646,0.799082545,-0.087831677,-0.912168323,0.999023438,-0.112304688,0.618164063,-0.796875,1.005315956,1.00853189
0.2,4,2,3,0,13,1,0.979334089,1.05122506,0.05122506,0.500976563,0.841796875,1,0.0546875,0.979591494,1.001494245
0.2,4,2,3,1,13,1,0.973122452,0.94877494,-0.05122506,0.549804688,0.795898438,0.998046875,-0.006835938,0.9673363,0.998070285
0.2,4,2,3,2,13,1,0.950313505,-0.05122506,-1.05122506,0.998046875,-0.080078125,0.512695313,-0.854492188,1.001254249,0.996500568
0.2,4,2,3,3,13,1,0.990082524,0.05122506,-0.94877494,0.998046875,0.04296875,0.588867188,-0.818359375,0.99897141,1.008204657
0.2,4,0,1,0,14,1.175663354,1.129069859,1.087831677,-0.087831677,0.438476563,0.888671875,0.998046875,-0.016601563,0.990958827,0.998184941
0.2,4,0,1,1,14,1.029236884,1.049482335,1.014618442,-0.014618442,0.515625,0.827148438,1,-0.036132813,0.974701841,1.000652577
0.2,4,0,1,2,14,0.970763116,0.94999101,-0.014618442,-0.985381558,0.998046875,-0.0078125,0.592773438,-0.842773438,0.998077452,1.030362759
0.2,4,0,1,3,14,0.824336646,0.796312174,-0.087831677,-0.912168323,0.997070313,-0.092773438,0.634765625,-0.782226563,1.001377111,1.007375696
