run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_161119,0.2,7,0,1,11,32,0.991338339,0.008661661,0.998962969,0.994519366,0.981885874,2048
20260111_161119,0.2,7,0,1,12,32,0.991430177,0.008569823,1.00181505,0.996151132,0.984576734,2048
20260111_161119,0.2,7,0,1,13,32,0.992202591,0.007797409,1.01063783,0.995841454,0.987691814,2048
20260111_161119,0.2,7,0,1,14,32,0.991789945,0.008210055,0.987507907,0.993515792,0.981969917,2048
20260111_161119,0.2,7,0,1,15,32,0.991844361,0.008155639,1.006627148,0.994496616,0.979884992,2048
20260111_161119,0.2,7,0,1,16,32,0.991463406,0.008536594,1.007303591,0.996369689,0.986108372,2048
20260111_161119,0.2,7,0,1,17,32,0.992175977,0.007824023,1.000040297,0.992979949,0.978744336,2048
20260111_161119,0.2,7,0,1,18,32,0.991154349,0.008845651,1.001449866,0.993634739,0.980774448,2048
20260111_161119,0.2,7,0,1,19,32,0.991491055,0.008508945,0.999170328,0.991989656,0.979333042,2048
20260111_161119,0.2,7,2,3,0,32,0.999647882,0.000352118,1.003579436,0.994613169,0.984463953,2048
20260111_161119,0.2,7,2,3,1,32,0.999521741,0.000478259,0.995403197,0.995512034,0.986147731,2048
20260111_161119,0.2,7,2,3,2,32,0.999696863,0.000303137,0.991817809,0.994785264,0.983222178,2048
20260111_161119,0.2,7,2,3,3,32,0.999714053,0.000285947,0.999703694,0.993297237,0.985477119,2048
20260111_161119,0.2,7,2,3,4,32,0.999422651,0.000577349,0.998416241,0.994686868,0.988271486,2048
20260111_161119,0.2,7,2,3,5,32,0.999661595,0.000338405,1.002321357,0.993501834,0.978740608,2048
20260111_161119,0.2,7,2,3,6,32,0.999577654,0.000422346,0.99846312,0.996140406,0.986927971,2048
20260111_161119,0.2,7,2,3,7,32,0.999748691,0.000251309,0.999348409,0.994583435,0.976714291,2048
20260111_161119,0.2,7,2,3,8,32,0.999728826,0.000271174,1.000567395,0.994612383,0.981644637,2048
20260111_161119,0.2,7,2,3,9,32,0.999594779,0.000405221,0.999287893,0.993380977,0.982725447,2048
20260111_161119,0.2,7,2,3,10,32,0.999465475,0.000534525,1.000129235,0.992797444,0.977017485,2048
20260111_161119,0.2,7,2,3,11,32,0.999473984,0.000526016,1.008668721,0.995378817,0.987219426,2048
20260111_161119,0.2,7,2,3,12,32,0.999546488,0.000453512,0.997185399,0.993780151,0.98073662,2048
20260111_161119,0.2,7,2,3,13,32,0.999593015,0.000406985,1.007873822,0.99243734,0.976690037,2048
20260111_161119,0.2,7,2,3,14,32,0.999652626,0.000347374,0.996521379,0.994993685,0.984133007,2048
20260111_161119,0.2,7,2,3,15,32,0.999641925,0.000358075,0.999229791,0.993551188,0.977626287,2048
20260111_161119,0.2,7,2,3,16,32,0.999659095,0.000340905,1.000523111,0.996185874,0.988356935,2048
20260111_161119,0.2,7,2,3,17,32,0.999596961,0.000403039,0.999421008,0.995542279,0.984476774,2048
20260111_161119,0.2,7,2,3,18,32,0.999546182,0.000453818,0.998823791,0.994596889,0.98377632,2048
20260111_161119,0.2,7,2,3,19,32,0.999725342,0.000274658,0.998374181,0.993309418,0.984991405,2048
20260111_162814,0.1,2,0,1,0,1,1,0,0.941514058,0.981798463,0.981798463,2048
20260111_162814,0.1,2,0,1,1,1,1,0,1.042716879,0.981460374,0.981460374,2048
